"Variable","N","Media","Mediana","SD","Min","Max","Q1","Q3"
"duracion",3561,108.834877843302,106,18.1780898813288,63,224,96,119
"duracion_cuadrado",3561,12175.3807919124,11236,4396.16897843785,3969,50176,9216,14161
"idioma_ingles",3561,0.936253861274923,1,0.244334470120692,0,1,1,1
"ingresos_internacionales",3561,72190865.8513901,21359144,139866758.266459,999,2029931467,4582761,72023632
"pais_fuerte",3561,0.521201909575962,1,0.499620433408701,0,1,0,1
"presupuesto",3561,42769668.7419264,2.5e+07,47262880.7562797,18,3.56e+08,1.2e+07,5.5e+07
