variable,n,media,mediana,desv_std,minimo,maximo,asimetria,curtosis,internacionales_n,internacionales_media,internacionales_mediana,internacionales_desv_std,internacionales_minimo,internacionales_maximo,internacionales_asimetria,internacionales_curtosis,mundiales_n,mundiales_media,mundiales_mediana,mundiales_desv_std,mundiales_minimo,mundiales_maximo,mundiales_asimetria,mundiales_curtosis,usa_n,usa_media,usa_mediana,usa_desv_std,usa_minimo,usa_maximo,usa_asimetria,usa_curtosis,promedio_n,promedio_media,promedio_mediana,promedio_desv_std,promedio_minimo,promedio_maximo,promedio_asimetria,promedio_curtosis,votos_n,votos_media,votos_mediana,votos_desv_std,votos_minimo,votos_maximo,votos_asimetria,votos_curtosis
presupuesto,3561,42769668.741926424,25000000,47262880.756279685,18,356000000,2.0811011257645498,7.980196707749941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ingresos,NA,NA,NA,NA,NA,NA,NA,NA,3561,72190865.85139006,21359144,139866758.26645857,999,2029931467,4.5145149012311165,35.693086286939945,3561,125555500.29149115,51142659,212116934.59172767,3492,2797800564,4.118480639805098,29.74511644112609,3561,56654799.69299821,31163983,80632735.80436127,848,936662225,3.4962526107801977,21.909245905905966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duracion,3561,108.83487784330244,106,18.178089881328816,63,224,1.2058750843292412,5.73558508369523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calificacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3561,6.405841055883179,6.5,0.9678335742981125,1.4,9,-0.7404741175201637,4.527956546483002,NA,NA,NA,NA,NA,NA,NA,NA
num,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3561,126289.80876158383,64383,173283.48680019178,10005,2241615,3.747517383546504,25.633159820115083
