"id","titulo","anio","pais","idioma","duracion","presupuesto","ingresos_mundiales","ingresos_usa","calificacion_promedio","num_votos","genero","ingresos_internacionales","idioma_ingles","pais_fuerte","duracion_cuadrado","outlier_presupuesto","outlier_ingresos","outlier_duracion","log_presupuesto","log_ingresos_int","roi","ratio_ingreso_presupuesto","categoria_presupuesto","decada"
"tt1371150","This Is Where I Leave You",2014,"USA","English",103,19800000,41296320,34296320,6.6,71411,"Comedy, Drama",7e+06,1,1,10609,FALSE,FALSE,FALSE,16.8011925461698,15.7614208498767,-0.646464646464647,0.353535353535354,"Medio","2010s"
"tt1371155","We Want Sex",2010,"UK","English",113,7200000,12629471,1095369,7.2,14161,"Biography, Comedy, Drama",11534102,1,1,12769,FALSE,FALSE,FALSE,15.7895917228752,16.2608186832373,0.601958611111111,1.60195861111111,"Bajo","2010s"
"tt1374989","PPZ: Pride and Prejudice and Zombies",2016,"USA, UK","English",108,2.8e+07,16457494,10938134,5.8,50166,"Action, Comedy, Fantasy",5519360,1,0,11664,FALSE,FALSE,FALSE,17.1477151038538,15.5237726506829,-0.80288,0.19712,"Medio","2010s"
"tt1374992","Upside Down",2012,"Canada, France","English",109,6e+07,22187813,105095,6.4,68662,"Drama, Fantasy, Romance",22082718,1,0,11881,FALSE,FALSE,FALSE,17.909855136853,16.9103059149076,-0.6319547,0.3680453,"Alto","2010s"
"tt1375666","Inception",2010,"USA, UK","English",148,1.6e+08,869784991,292576195,8.8,2002816,"Action, Adventure, Sci-Fi",577208796,1,0,21904,FALSE,TRUE,FALSE,18.8906843794481,20.1737146255656,2.607554975,3.607554975,"Muy Alto","2010s"
"tt1375670","Un weekend da bamboccioni",2010,"USA","English",102,8e+07,271457301,162001186,5.9,224280,"Comedy",109456115,1,1,10404,FALSE,FALSE,FALSE,18.1975372051382,18.5110342597689,0.3682014375,1.3682014375,"Alto","2010s"
"tt1379177","La scomparsa di Alice Creed",2009,"UK","English",100,8e+05,896919,166980,6.7,24772,"Crime, Thriller",729939,1,1,10000,FALSE,FALSE,FALSE,13.5923682566493,13.5007176179658,-0.08757625,0.91242375,"Bajo","2000s"
"tt1381404","La regola del silenzio - The Company You Keep",2012,"USA, Canada","English",125,2e+06,20014680,5133027,6.4,31145,"Drama, Thriller",14881653,1,0,15625,FALSE,FALSE,FALSE,14.5086582385241,16.5156397371058,6.4408265,7.4408265,"Bajo","2010s"
"tt1385826","I guardiani del destino",2011,"USA","English",106,50200000,127869379,62495645,7,240237,"Romance, Sci-Fi, Thriller",65373734,1,1,11236,FALSE,FALSE,FALSE,17.7315256045823,17.9956311302578,0.30226561752988,1.30226561752988,"Alto","2010s"
"tt1385867","Poliziotti fuori - Due sbirri a piede libero",2010,"USA","English",107,3e+07,55611001,44875481,5.6,84584,"Action, Comedy, Crime",10735520,1,1,11449,FALSE,FALSE,FALSE,17.2167079729598,16.1890685209539,-0.642149333333333,0.357850666666667,"Medio","2010s"
"tt1386588","I poliziotti di riserva",2010,"USA","English",107,1e+08,170458922,119219978,6.6,238059,"Action, Comedy, Crime",51238944,1,1,11449,FALSE,FALSE,FALSE,18.4206807539524,17.7520104453975,-0.48761056,0.51238944,"Muy Alto","2010s"
"tt1386697","Suicide Squad",2016,"USA","English",123,1.75e+08,746846894,325100054,6,586474,"Action, Adventure, Fantasy",421746840,1,1,15129,FALSE,TRUE,FALSE,18.9802965376021,19.859915789143,1.40998194285714,2.40998194285714,"Muy Alto","2010s"
